,continentEnglishName,countryEnglishName,currentConfirmedCount,confirmedCount,curedCount,deadCount
0,Asia,China,1651,95563,89143,4769
1,Asia,China,44,2026,1974,8
2,Asia,China,133,759,619,7
3,Asia,China,1213,7969,6628,128
4,North America,United States of America,9125319,17213887,7777776,310792
5,Asia,Bahrain,1548,89743,87846,349
6,North America,Mexico,219139,1289298,953672,116487
7,Asia,Turkey,216709,1955680,1721607,17364
8,Asia,Armenia,18821,151392,129990,2581
9,Oceania,Australia,1557,28094,25629,908
10,North America,,134,1294,1134,26
11,Europe,Finland,9244,32228,22500,484
12,South America,Chile,11525,578732,551200,16007
13,Europe,Greece,123289,128710,1473,3948
14,Asia,Kazakhstan,63934,187890,121347,2609
15,Europe,Norway,7909,42776,34463,404
16,Asia,Indonesia,98688,650197,531995,19514
17,North America,Bahamas,1616,7714,5934,164
18,Africa,Namibia,2275,17276,14837,164
19,South America,Bolivia,12479,148665,127155,9031
20,Europe,Belgium,580594,618204,19239,18371
21,Africa,,5563,5616,0,53
22,Europe,Bulgaria,88221,188288,93728,6339
23,Africa,Sierra Leone,535,2464,1854,75
24,South America,Brazil,748949,7111527,6177702,184876
25,Africa,Tunisia,24050,115966,87884,4032
26,Asia,Philippines,27021,456562,420666,8875
27,Europe,Lithuania,58678,106210,46560,972
28,Europe,Bosnia and Herzegovina,31043,104087,69495,3549
29,North America,Trinidad and Tobago,564,6917,6230,123
30,North America,Cuba,864,9771,8770,137
31,Europe,Moldova,15015,131919,114230,2674
32,Europe,,9332,42995,33049,614
33,North America,Canada,76310,488638,398412,13916
34,North America,El Salvador,2697,42397,38481,1219
35,North America,Honduras,58954,115474,53499,3021
36,North America,Dominican Republic,32225,156585,121988,2372
37,Asia,Japan,26569,190138,160786,2783
38,Asia,Uzbekistan,2116,75538,72810,612
39,Europe,Austria,32362,334913,297424,5127
40,Africa,Angola,6836,16484,9266,382
41,Asia,Kingdom of Bhutan,23,442,419,0
42,North America,Panama,31576,203295,168238,3481
43,Europe,Russia,512825,2791220,2228633,49762
44,Africa,Benin,136,3152,2972,44
45,Asia,United Arab Emirates,22696,189866,166541,629
46,Asia,Syria,4501,9603,4548,554
